START_ID,END_ID,round,date
273,11445,A轮,2018-06-26
274,6039,B轮,2017-11-09
275,5617,新三板定增,2016-03-04
276,6304,A轮,2012-09-17
277,6076,新三板定增,2017-08-09
278,11715,新三板定增,2017-01-12
279,6077,A+轮,2019-05-14
280,15093,新三板定增,2019-04-09
281,11823,A轮,2017-12-01
282,5566,上市定增,2010-02-05
282,5681,上市定增,2012-07-07
282,5566,上市定增,2010-02-05
282,5681,上市定增,2012-07-07
282,5784,A轮,2014-12-12
282,11688,A轮,2011-03-17
282,10964,F轮,2013-10-28
282,11587,A轮,2014-12-11
282,10964,G轮,2014-09-01
282,15317,D轮,2017-03-28
283,6254,A轮,2015-12-24
284,5883,B轮,2019-02-22
285,5903,C轮,2019-01-07
286,5995,A轮,2017-07-20
286,5995,,2017-07-21
287,15249,A轮,2018-04-13
288,15139,D轮,2012-12-25
288,15156,上市定增,2013-09-04
289,5484,C轮,2009-08-24
289,5484,C轮,2009-08-24
289,6465,新三板定增,2016-12-26
289,5484,B轮,2008-06-30
290,6694,天使轮,2013-11-08
291,6514,新三板定增,2016-09-29
291,6585,新三板定增,2016-06-08
291,12176,新三板定增,2016-05-17
291,15428,新三板定增,2016-02-04
291,5667,新三板定增,2016-01-22
292,12236,天使轮,2016-04-11
293,5423,C轮,2019-03-08
294,10809,B轮,2018-01-17
295,11456,,2019-03-01
295,5615,天使轮,2010-01-01
296,5596,A轮,2011-10-09
296,5596,A轮,2011-10-09
297,11943,IPO轮,2018-02-28
298,6103,B轮,2018-12-12
299,6445,新三板定增,2017-01-25
300,11217,新三板定增,2018-02-08
301,11805,A轮,2016-10-17
302,15210,A轮,2017-08-02
303,7094,IPO轮,2017-03-22
304,5877,A轮,2015-11-20
304,5877,A轮,2015-11-20
305,5494,B轮,2009-04-13
305,5494,B轮,2009-04-13
306,5823,D轮,2019-08-14
306,6744,定向增发,2016-12-30
307,5655,A轮,2012-12-13
307,5655,A轮,2012-12-13
307,5733,A轮,2013-10-24
307,5781,天使轮,2014-06-30
307,5870,天使轮,2015-11-30
307,5903,A轮,2015-10-12
307,6068,B轮,2017-08-22
307,6068,C轮,2019-01-16
307,6202,A轮,2019-01-15
307,6214,A轮,2018-11-23
307,6255,B+轮,2018-06-05
307,6565,C轮,2016-07-23
307,6682,B轮,2016-06-21
307,6686,天使轮,2016-03-01
307,5329,A轮,2014-10-12
307,6700,A轮,2017-03-13
307,6009,C轮,2019-11-13
307,11325,C轮,2019-06-20
307,10298,C轮,2019-06-17
307,10659,A轮,2008-11-24
307,5635,B轮,2008-11-18
307,11432,天使轮,2011-10-01
307,11684,天使轮,2011-05-26
307,11192,A轮,2012-10-01
307,5329,A轮,2014-10-01
307,6565,A轮,2014-08-09
307,5325,C轮,2016-11-01
307,11859,B轮,2018-10-25
307,11408,B轮,2017-06-13
307,6682,A轮,2016-03-21
307,11419,B轮,2018-06-01
307,11419,A轮,2017-01-05
307,6700,B轮,2017-12-04
307,15084,B轮,2019-06-17
307,5635,C轮,2010-01-06
307,15142,A轮,2011-01-20
307,11036,A轮,2014-08-07
307,5733,A轮,2014-06-30
307,5945,B轮,2019-01-30
307,10731,B轮,2018-07-20
307,11419,B轮,2018-06-01
307,11295,B+轮,2018-05-31
307,15015,B轮,2018-02-28
307,6700,B轮,2017-12-05
307,15084,B轮,2019-06-17
307,15084,A轮,2018-01-09
307,11597,PRE-A轮,2019-12-03
308,5483,上市定增,2009-08-28
308,5486,上市定增,2009-07-29
308,5483,上市定增,2009-08-28
308,5486,上市定增,2009-07-29
308,5725,,2013-12-01
308,5829,上市定增,2014-07-07
308,5753,上市定增,2011-11-24
308,11723,上市定增,2013-11-20
308,11803,新三板定增,2016-11-01
308,5455,上市定增,2011-11-28
308,10275,上市定增,2012-07-06
309,12070,IPO轮,2017-01-20
310,6369,B+轮,2017-07-17
311,5379,新三板定增,2019-05-22
311,5379,新三板定增,2019-05-22
312,6102,新三板定增,2018-01-30
313,11353,新三板定增,2017-09-15
314,6161,A轮,2015-09-14
315,6151,新三板定增,2018-07-18
316,5480,A轮,2009-09-18
316,5482,B轮,2009-08-31
316,5480,A轮,2009-09-18
316,5482,B轮,2009-08-31
316,11602,A轮,2008-05-30
317,6095,,2017-07-05
317,6189,A轮,2019-04-16
317,6697,B轮,2015-11-01
318,15415,新三板定增,2016-04-08
319,11609,IPO轮,2016-07-28
320,5403,B轮,2019-03-19
320,5415,F轮,2019-02-21
320,5403,B轮,2019-03-19
320,5415,F轮,2019-02-21
320,11886,A轮,2019-06-10
320,12472,A轮,2017-11-01
320,6689,A轮,2018-11-05
321,5430,C轮,2018-06-04
322,11297,A轮,2016-06-21
323,6061,新三板定增,2017-09-12
324,6463,IPO轮,2016-12-31
324,6499,IPO轮,2016-11-08
324,5497,IPO轮,2016-09-10
324,5565,IPO轮,2016-08-18
324,5994,IPO轮,2016-08-17
324,5509,IPO轮,2016-06-22
324,7127,IPO轮,2016-03-07
325,6719,B轮,2019-11-11
325,10763,B轮,2016-08-15
325,6719,A轮,2017-12-28
326,6072,新三板定增,2017-10-27
326,6327,B轮,2017-09-14
326,5993,新三板定增,2017-08-10
327,15168,A轮,2014-10-16
328,5338,A轮,2013-10-30
329,5727,D轮,2019-10-22
329,5727,D轮,2019-10-22
330,5537,A轮,2010-07-12
330,5604,A轮,2011-09-16
330,5537,A轮,2010-07-12
330,5604,A轮,2011-09-16
330,6076,新三板定增,2017-08-09
330,6184,D轮,2019-06-21
330,11685,A轮,2011-05-25
330,11701,A轮,2012-07-01
330,11773,B轮,2015-11-25
330,10821,C轮,2018-10-15
330,6184,D轮,2019-06-20
330,15119,A轮,2010-12-01
330,5790,A轮,2011-09-26
330,5951,A轮,2011-08-01
330,5537,B轮,2012-02-28
330,15127,A轮,2012-01-01
330,11055,A轮,2015-11-16
330,11055,A轮,2015-11-16
330,5423,B轮,2018-10-08
331,6189,A轮,2019-04-16
331,6189,A轮,2019-04-16
332,11131,IPO轮,2016-11-14
333,11448,PRE-A轮,2017-12-01
333,5365,天使轮,2015-09-15
334,6377,新三板定增,2017-06-21
335,12113,,2019-07-30
336,10730,A轮,2019-06-05
337,7126,A轮,2011-05-24
338,11573,IPO轮,2018-04-12
339,5371,B轮,2019-06-25
339,5654,C轮,2017-11-01
340,5990,,2018-05-24
341,5658,,2018-01-29
341,15124,,2013-11-01
341,5658,D轮,2017-12-12
342,6687,A轮,2017-08-03
342,6687,A轮,2017-08-03
343,7092,IPO轮,2016-07-11
344,6327,B轮,2017-09-14
344,6327,B轮,2017-09-14
345,6260,PRE-A轮,2018-05-16
345,5748,A轮,2016-01-21
346,5765,,2019-07-02
347,11299,B轮,2019-07-05
